lap,position,seconds,nationality,drivername,name,time_gap
15,2,75.139,British,Lewis Hamilton,Dutch Grand Prix,3986.0
16,2,75.161,British,Lewis Hamilton,Dutch Grand Prix,5421.0
17,2,75.418,British,Lewis Hamilton,Dutch Grand Prix,3059.0
18,2,75.476,British,Lewis Hamilton,Dutch Grand Prix,3055.0
19,2,75.619,British,Lewis Hamilton,Dutch Grand Prix,3567.0
20,2,79.092,British,Lewis Hamilton,Dutch Grand Prix,3871.0
21,3,92.549,British,Lewis Hamilton,Dutch Grand Prix,17053.0
22,3,73.757,British,Lewis Hamilton,Dutch Grand Prix,18817.0
23,3,74.234,British,Lewis Hamilton,Dutch Grand Prix,6403.0
24,3,74.238,British,Lewis Hamilton,Dutch Grand Prix,21196.0
25,3,74.418,British,Lewis Hamilton,Dutch Grand Prix,18776.0
26,3,74.927,British,Lewis Hamilton,Dutch Grand Prix,5540.0
27,3,74.787,British,Lewis Hamilton,Dutch Grand Prix,6049.0
28,3,74.574,British,Lewis Hamilton,Dutch Grand Prix,20189.0
29,3,76.203,British,Lewis Hamilton,Dutch Grand Prix,2608.0
30,3,74.526,British,Lewis Hamilton,Dutch Grand Prix,9775.0
31,2,76.033,British,Lewis Hamilton,Dutch Grand Prix,26792.0
32,2,75.003,British,Lewis Hamilton,Dutch Grand Prix,20936.0
33,2,74.728,British,Lewis Hamilton,Dutch Grand Prix,6748.0
34,2,74.579,British,Lewis Hamilton,Dutch Grand Prix,22496.0
35,2,74.809,British,Lewis Hamilton,Dutch Grand Prix,20638.0
36,2,74.721,British,Lewis Hamilton,Dutch Grand Prix,10396.0
37,2,74.516,British,Lewis Hamilton,Dutch Grand Prix,5415.0
38,2,74.788,British,Lewis Hamilton,Dutch Grand Prix,5416.0
39,2,77.127,British,Lewis Hamilton,Dutch Grand Prix,5836.0
40,2,92.263,British,Lewis Hamilton,Dutch Grand Prix,16938.0
41,2,73.292,British,Lewis Hamilton,Dutch Grand Prix,23057.0
42,2,73.428,British,Lewis Hamilton,Dutch Grand Prix,6105.0
43,2,73.806,British,Lewis Hamilton,Dutch Grand Prix,21770.0
44,2,73.678,British,Lewis Hamilton,Dutch Grand Prix,5833.0
45,2,74.505,British,Lewis Hamilton,Dutch Grand Prix,19568.0
46,2,74.185,British,Lewis Hamilton,Dutch Grand Prix,4008.0
47,2,74.123,British,Lewis Hamilton,Dutch Grand Prix,5864.0
48,2,73.619,British,Lewis Hamilton,Dutch Grand Prix,19267.0
49,2,73.124,British,Lewis Hamilton,Dutch Grand Prix,5521.0
50,2,73.475,British,Lewis Hamilton,Dutch Grand Prix,4776.0
51,2,73.324,British,Lewis Hamilton,Dutch Grand Prix,4592.0
52,2,73.511,British,Lewis Hamilton,Dutch Grand Prix,4715.0
53,2,73.524,British,Lewis Hamilton,Dutch Grand Prix,5312.0
54,2,73.683,British,Lewis Hamilton,Dutch Grand Prix,4633.0
55,2,75.27,British,Lewis Hamilton,Dutch Grand Prix,3405.0
56,2,73.783,British,Lewis Hamilton,Dutch Grand Prix,4243.0
57,2,73.45,British,Lewis Hamilton,Dutch Grand Prix,7007.0
58,2,73.525,British,Lewis Hamilton,Dutch Grand Prix,4540.0
59,2,74.547,British,Lewis Hamilton,Dutch Grand Prix,4616.0
60,2,73.674,British,Lewis Hamilton,Dutch Grand Prix,11889.0
61,2,74.462,British,Lewis Hamilton,Dutch Grand Prix,8204.0
62,2,73.835,British,Lewis Hamilton,Dutch Grand Prix,5468.0
