lap,position,seconds,drivername
5,,79.09445,Average
6,,77.51764999999999,Average
7,,77.5866,Average
8,,77.64005,Average
9,,78.31735,Average
10,,77.55045,Average
11,,78.20439999999999,Average
12,,77.13935000000001,Average
13,,77.16614999999999,Average
14,,77.17094999999999,Average
15,,77.1153,Average
16,,77.0352,Average
17,,77.00335000000001,Average
18,,76.9772,Average
19,,77.12355000000001,Average
20,,77.0661,Average
21,,77.8336,Average
22,,77.44205000000001,Average
23,,77.0775,Average
24,,78.1661,Average
25,,77.97810000000001,Average
26,,76.8984,Average
27,,77.08239999999999,Average
28,,79.2645,Average
29,,76.72355,Average
30,,77.2867,Average
31,,79.9764,Average
32,,80.4131,Average
33,,77.08295,Average
34,,79.4556,Average
35,,77.187,Average
36,,76.56245,Average
37,,76.33160000000001,Average
38,,76.399,Average
39,,76.4947,Average
40,,77.5752,Average
41,,78.22175,Average
42,,76.1738947368421,Average
43,,76.92357894736843,Average
44,,76.08078947368422,Average
45,,76.687,Average
46,,75.64063157894738,Average
47,,75.78973684210527,Average
48,,77.12494736842105,Average
49,,75.62566666666667,Average
50,,75.49711111111111,Average
51,,75.5795,Average
52,,75.56872222222222,Average
53,,75.80516666666666,Average
54,,75.6613888888889,Average
55,,75.47038888888889,Average
56,,75.34572222222222,Average
57,,75.34072222222223,Average
58,,75.15672222222221,Average
59,,75.19866666666667,Average
60,,75.55388888888889,Average
61,,75.52988888888889,Average
62,,75.628,Average
63,,75.66777777777779,Average
64,,75.64544444444444,Average
65,,75.86083333333333,Average
66,,76.25372222222222,Average
67,,76.74394444444444,Average
68,,77.73377777777777,Average
69,,78.715,Average
70,,76.184375,Average
71,,77.691,Average
72,,73.66833333333332,Average
